hash	stored	verdict	expected_current	expected_newdef	note
# verdict: ok=현행 정의 기준 정답 · miss=오분류 · edge=복수 허용 · body=본문 확인 필요
# expected_newdef: 새 체계 (negotiating넓힘/agreed확정/done완료) 기준 목적지
# --- interest (20) ---
1a2cfff7	interest	ok	interest	interest	몽가 경쟁 초기 · dir in 수용
2637cd61	interest	ok	interest	interest
93899d04	interest	ok	interest	interest	타구단 · dir none ok
6fbd962e	interest	miss	rumour	rumour	스왑딜설 일축 = 부인 → 도달 불명 rumour
264b0752	interest	ok	interest	interest
e3948770	interest	ok	interest	interest
ba59d287	interest	ok	interest	interest
bce55c87	interest	edge	interest|other	interest|other	주제가 레알-비니 재계약 제안 · 규칙 충돌 계열
1180329e	interest	ok	interest	interest
ffec815c	interest	ok	interest	interest	복합 기사
f552be28	interest	edge	interest|rumour	interest|rumour	기대감 보도
ed9f46f9	interest	ok	interest	interest
25591d11	interest	ok	interest	interest	대안 후보 규칙 명시
b57dedc7	interest	ok	interest	interest
0fa1c374	interest	ok	interest	interest
00ae52f6	interest	ok	interest	interest
61f2f088	interest	edge	interest|negotiating	negotiating	무산 회고 · 마지막 단계 모호
f94584ab	interest	ok	interest	interest
6327b923	interest	ok	interest	interest	지불 의사만
0c81e5a6	interest	edge	interest|other	interest|other	재계약 얽힘
# --- rumour (20 · bbc_gossip 규칙 고정 11 포함) ---
d30835af	rumour	ok	rumour	rumour	펀딧 추천
6ef6fe04	rumour	edge	rumour|other	rumour|other	단일 주제 칼럼
fe031baa	rumour	ok	rumour	rumour	펀딧 추천
67171944	rumour	ok	rumour	rumour	펀딧 추천
22423285	rumour	ok	rumour	rumour	gossip 규칙
73315cbb	rumour	edge	rumour|other	rumour|other	잔류 발언 · out
4baf27be	rumour	ok	rumour	rumour
aef0f66a	rumour	ok	rumour	rumour	gossip 규칙
6d769bd8	rumour	ok	rumour	rumour	gossip 규칙
b251ca2e	rumour	ok	rumour	rumour	gossip 규칙
08e340e1	rumour	ok	rumour	rumour	gossip 규칙
b79ac20c	rumour	ok	rumour	rumour	gossip 규칙
e1e6841b	rumour	ok	rumour	rumour	gossip 규칙
d890addb	rumour	ok	rumour	rumour	gossip 규칙
9c630bef	rumour	miss	negotiating	negotiating	기마랑이스 이적 요청 전달 = 실질 진행 보도
94b50e9d	rumour	ok	rumour	rumour	gossip 규칙
a3f49f6f	rumour	edge	rumour|interest	rumour|interest	감독 발언
b4cabf85	rumour	ok	rumour	rumour	부인 · 도달 불명 규칙
397dbe90	rumour	ok	rumour	rumour	gossip 규칙
a184d8db	rumour	ok	rumour	rumour	gossip 규칙
# --- negotiating (20) ---
9356f857	negotiating	ok	negotiating	negotiating	dir 오류: 전 아스날 → none 기대 (DB out)
1bdc581a	negotiating	miss	other|negotiating	done	촐리스 완결 후 회고 (지불 준비였었다)
10f28eb2	negotiating	edge	negotiating|interest	negotiating
5123b257	negotiating	ok	negotiating	negotiating
b48ca35b	negotiating	ok	negotiating	negotiating	무산 회고 → 마지막 단계 규칙
01e2379f	negotiating	miss	other	other	재계약 협상 → 현행 규칙상 other · 규칙 충돌 계열
a50aa084	negotiating	ok	negotiating	negotiating
a6d6b098	negotiating	ok	negotiating	negotiating
26ced057	negotiating	ok	negotiating	negotiating	dir out ok
63ee6946	negotiating	ok	negotiating	negotiating
0d4588aa	negotiating	ok	negotiating	negotiating	타구단
e5ad5c1a	negotiating	ok	negotiating	negotiating
71d0e34c	negotiating	ok	negotiating	negotiating	거절 명시
f3b3cbfe	negotiating	ok	negotiating	negotiating
419c3296	negotiating	ok	negotiating	negotiating	타구단
df3ec702	negotiating	ok	negotiating	negotiating
2cbacf4f	negotiating	ok	negotiating	negotiating
a5088900	negotiating	ok	negotiating	negotiating	결렬 규칙
7c73d5ae	negotiating	ok	negotiating	negotiating
a72f428a	negotiating	edge	negotiating|other	negotiating|other	타구단 · 무산 얽힘
# --- other (20) ---
104e643f	other	ok	other	규칙충돌	비니 재계약 합의 = 무산 사가 결말 · 기본 숨김 문제
138d0743	other	ok	other	other	부상
64ccfe25	other	ok	other	other	스폰서십
7f7cb845	other	ok	other	other
0eaeed4c	other	ok	other	other	분석
007c90c8	other	ok	other	규칙충돌	비니 재계약
7729e549	other	ok	other	other
a25cd664	other	ok	other	other
235603ae	other	ok	other	other	라운드업성
c1a802e1	other	ok	other	other
3d6bd6a3	other	ok	other	other
f3bb7c7c	other	ok	other	규칙충돌	비니 재계약 체결
4df540fe	other	ok	other	other	총평
4c869ed2	other	ok	other	규칙충돌	비니 재계약
0f9f943a	other	ok	other	other	부상
a7105812	other	ok	other	other	배경
37b04ade	other	ok	other	other	근황
98deadf5	other	ok	other	other	스폰서십
417409e4	other	ok	other	other	발언
dbc972df	other	ok	other	other	타구단 재계약
# --- medical (10 전건) ---
5d213f2f	medical	edge	medical|agreed	medical|agreed	확정 + 메디컬 예정
6104ea8a	medical	ok	medical	medical
8210fbfd	medical	ok	medical	medical	타구단
0c30eb0b	medical	ok	medical	medical	합의 + 메디컬 마침
20ec38a6	medical	edge	medical|agreed	medical|agreed	메디컬 완료 + 계약 예정
079534d1	medical	ok	medical	medical	타구단 · dir none ok
b3124e2a	medical	ok	medical	medical
a4f5fc4c	medical	ok	medical	medical	본문엔 소속 없음 · 요약이 "브렌트포드" 를 지어냄 (세계 지식 주입) · dir 은 none→out 오류
6b6836cc	medical	ok	medical	medical
5c198629	medical	edge	medical|agreed	medical|agreed	합의 + 메디컬 앞둠
# --- personal_terms (9 전건) ---
38704fc8	personal_terms	miss	agreed|negotiating	negotiating	본문 확인: 개인 합의 "근접" (합의 아님) · 서류 진행
32a1a3b1	personal_terms	ok	personal_terms	personal_terms	5년 계약 합의
cc2c7b58	personal_terms	edge	agreed|personal_terms	agreed	본문 확인: 구단 간 구두 합의 + 개인 합의 + 메디컬 예정 병존 → 최상 단계는 agreed
96bff722	personal_terms	miss	interest|negotiating	negotiating	연봉 제시 준비 = 합의 전
06ca4660	personal_terms	miss	interest|negotiating	negotiating	연봉 계약 준비 = 합의 전
dee946d9	personal_terms	miss	interest|negotiating	negotiating	연봉 준비 = 합의 전
09e0aaef	personal_terms	ok	personal_terms	personal_terms	선수-구단 구두 합의
75ef94fc	personal_terms	ok	personal_terms	personal_terms	개인 조건 원칙적 합의
